"begin_date","end_date","fips","type"
1999-09-16,1999-09-17,"25011","Heavy Rain"
1999-09-16,1999-09-17,"25001","Heavy Rain"
1999-09-16,1999-09-17,"25015","Heavy Rain"
1999-09-15,1999-09-16,"37087","High Wind"
1999-09-15,1999-09-16,"37099","High Wind"
1999-09-15,1999-09-16,"37096","High Wind"
1999-09-15,1999-09-16,"37097","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37101","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37100","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"45034","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"45017","High Wind"
1999-09-17,1999-09-17,"99113","Flood"
1999-09-17,1999-09-17,"50009","High Wind"
1999-09-17,1999-09-17,"50011","High Wind"
1999-09-16,1999-09-18,"23030","High Wind"
1999-09-18,1999-09-18,"12081","Waterspout"
1999-09-16,1999-09-18,"23029","High Wind"
1999-09-16,1999-09-18,"23001","High Wind"
1999-09-16,1999-09-18,"23005","High Wind"
1999-09-16,1999-09-18,"23011","High Wind"
1999-09-16,1999-09-16,"24025","Flash Flood"
1999-09-16,1999-09-16,"24005","Flash Flood"
1999-09-16,1999-09-16,"24510","Flash Flood"
1999-09-16,1999-09-16,"24013","Flash Flood"
1999-09-16,1999-09-16,"24027","Flash Flood"
1999-09-16,1999-09-16,"24009","Flash Flood"
1999-09-16,1999-09-16,"24003","Flash Flood"
1999-09-16,1999-09-18,"23016","High Wind"
1999-09-16,1999-09-18,"23006","High Wind"
1999-09-16,1999-09-16,"24009","Storm Surge/Tide"
1999-09-16,1999-09-16,"24037","Storm Surge/Tide"
1999-09-16,1999-09-16,"24013","Tropical Storm"
1999-09-16,1999-09-16,"24021","Heavy Rain"
1999-09-16,1999-09-16,"24031","Heavy Rain"
1999-09-16,1999-09-16,"24009","High Wind"
1999-09-16,1999-09-16,"24004","High Wind"
1999-09-16,1999-09-16,"24010","High Wind"
1999-09-16,1999-09-16,"24033","Flash Flood"
1999-09-16,1999-09-16,"24017","Flash Flood"
1999-09-16,1999-09-16,"24037","Flash Flood"
1999-09-16,1999-09-16,"24005","High Wind"
1999-09-16,1999-09-16,"24003","High Wind"
1999-09-16,1999-09-18,"23017","High Wind"
1999-09-16,1999-09-18,"23015","High Wind"
1999-09-16,1999-09-17,"36017","Flood"
1999-09-16,1999-09-17,"36105","Flash Flood"
1999-09-16,1999-09-17,"50025","Flash Flood"
